#A
Xbalanque	:Mayan		:Ranged	:Hunter		:Branching Bola			:Poison Darts			:Rising Jaguar			:Darkest Of Nights
Xing Tian	:Chinese	:Melee	:Guardian	:Furious Roar			:Hook Slam			:Sky-Cutting Axe		:Whirlwind Of Rage And Steel

#Y
Ymir		:Norse		:Melee	:Guardian	:Ice Wall			:Glacial Strike			:Frost Breath			:Shards Of Ice

#Z
Zeus		:Greek		:Ranged	:Mage		:Chain Lightning		:Aegis Assault			:Detonate Charge		:Lightning Storm
Zhong Kui	:Chines		:Ranged	:Mage		:Expose Evil			:Exorcism			:Book Of Demons			:Recall Demons

